id,cod_dep,departamento,cod_mun,municipio,centro_salud,puesto_de_salud,hospital_basico,hospital_general,instituto_especializado,total_establecimientos_de_salud
1,1,CHUQUISACA,10101,SUCRE,101,12,7,2,4,126
2,1,CHUQUISACA,10102,YOTALA,1,9,,,,10
3,1,CHUQUISACA,10103,POROMA,4,9,,,,13
4,1,CHUQUISACA,10201,AZURDUY,5,6,,,,11
5,1,CHUQUISACA,10202,TARVITA,9,2,,,,11
6,1,CHUQUISACA,10301,ZUDAÑEZ,1,5,,,,6
7,1,CHUQUISACA,10302,PRESTO,3,3,,,,6
8,1,CHUQUISACA,10303,MOJOCOYA,5,3,,,,8
9,1,CHUQUISACA,10304,ICLA,5,3,,,,8
10,1,CHUQUISACA,10401,PADILLA,3,4,1,,,8
11,1,CHUQUISACA,10402,TOMINA,2,7,,,,9
12,1,CHUQUISACA,10403,SOPACHUY,3,2,,,,5
13,1,CHUQUISACA,10404,ALCALA,1,2,,,,3
14,1,CHUQUISACA,10405,EL VILLAR,1,4,,,,5
15,1,CHUQUISACA,10501,MONTEAGUDO,6,12,1,,,19
16,1,CHUQUISACA,10502,HUACARETA,5,10,,,,15
17,1,CHUQUISACA,10601,TARABUCO,7,4,,,,11
18,1,CHUQUISACA,10602,YAMPARAEZ,2,7,,,,9
19,1,CHUQUISACA,10701,CAMARGO,2,5,1,,,8
20,1,CHUQUISACA,10702,SAN LUCAS,5,21,,,,26
21,1,CHUQUISACA,10703,INCAHUASI,3,12,,,,15
22,1,CHUQUISACA,10704,VILLA CHARCAS,,,,,,0
23,1,CHUQUISACA,10801,VILLA SERRANO,4,4,,,,8
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),1,3,,,,4
25,1,CHUQUISACA,10902,CULPINA,3,9,,,,12
26,1,CHUQUISACA,10903,LAS CARRERAS,1,5,,,,6
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),4,9,,,,13
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),3,2,,,,5
29,1,CHUQUISACA,11003,MACHARETI,5,7,,,,12
30,2,LA PAZ,20101,LA PAZ,112,,19,5,12,148
31,2,LA PAZ,20102,PALCA,7,2,,,,9
32,2,LA PAZ,20103,MECAPACA,3,4,,,,7
33,2,LA PAZ,20104,ACHOCALLA,2,1,,,,3
34,2,LA PAZ,20105,EL ALTO,71,,6,2,,79
35,2,LA PAZ,20201,ACHACACHI,6,12,1,,,19
36,2,LA PAZ,20202,ANCORAIMES,1,4,1,,,6
37,2,LA PAZ,20203,HUARINA,,,,,,0
38,2,LA PAZ,20204,SANTIAGO DE HUATA,,,,,,0
39,2,LA PAZ,20205,HUATAJATA,,,,,,0
40,2,LA PAZ,20206,CHUA COCANI,,,,,,0
41,2,LA PAZ,20301,CORO CORO,2,4,,,,6
42,2,LA PAZ,20302,CAQUIAVIRI,2,4,,,,6
43,2,LA PAZ,20303,CALACOTO,1,6,,,,7
44,2,LA PAZ,20304,COMANCHE,1,2,,,,3
45,2,LA PAZ,20305,CHARAÑA,1,1,,,,2
46,2,LA PAZ,20306,WALDO BALLIVIAN,,1,,,,1
47,2,LA PAZ,20307,NAZACARA DE PACAJES,,1,,,,1
48,2,LA PAZ,20308,SANTIAGO DE CALLAPA,1,3,,,,4
49,2,LA PAZ,20401,PUERTO ACOSTA,2,6,1,,,9
50,2,LA PAZ,20402,MOCOMOCO,3,7,,,,10
51,2,LA PAZ,20403,PUERTO CARABUCO,4,7,,,,11
52,2,LA PAZ,20404,HUMANATA,,,,,,0
53,2,LA PAZ,20405,ESCOMA,,,,,,0
54,2,LA PAZ,20501,CHUMA,3,4,,,,7
55,2,LA PAZ,20502,AYATA,1,4,,,,5
